=== DRISHTIGRID GUJARAT STATE SURVEILLANCE AUDIT ===
Report Type,COVERAGE_GAP
Jurisdiction District,Ahmedabad
Generated Timestamp,2026-09-07T08:12:39.480Z
Total Monitored Cameras,124
Operational Online,85
Total Jurisdiction Area (sq km),460
Optical Coverage Area (sq km),2.98
Estimated Blind Spot Rate (%),88%
Surveillance Density (cams/sq km),0.27

=== PRIORITY COVERAGE BLIND SPOTS & RECOMMENDATIONS ===
Hotspot ID,Corridor / Area,District,Severity,Recommended CCTV Units,Nearest Police Station,Strategic Rationale
"GAP-AHM-01","Ahmedabad Outer Ring Road & Radial Extension Corridor","Ahmedabad","CRITICAL","+6 Units","Ahmedabad Highway Division Traffic PS","High vehicle volume arterial junction with zero visual overlapping buffers beyond 400m"
"GAP-AHM-02","Ahmedabad Bus Stand Road Freight Line","Ahmedabad","HIGH","+4 Units","Ahmedabad Industrial Area Police Station","Heavy commercial transit corridor lacking night-vision ANPR units and cross-lane surveillance"
"GAP-AHM-03","Ahmedabad Rajkot Highway Pedestrian Chokepoint","Ahmedabad","MEDIUM","+3 Units","Ahmedabad City Central Police Station","Dense pedestrian choke-point with single direction PTZ blind angle during peak commercial hours"

=== REGISTERED SURVEILLANCE UNITS IN JURISDICTION ===
Camera ID,Name,District,Taluka,Type,Status,Uptime 30d %,Police Station,Latitude,Longitude
"GJ-DEMO-CAM-0201","Ahmedabad Junction Cam 18 - Ahmedabad Junction","Ahmedabad","Ahmedabad City","PTZ","maintenance","96.5","",23.019227,72.553811
"GJ-DEMO-CAM-0219","Sanand Public Place Cam 02 - Sanand Central Library","Ahmedabad","Sanand","PTZ","maintenance","96.5","",23.009277,72.368638
"GJ-DEMO-CAM-0507","Ahmedabad Highway Cam 13 - Vasna Town Bypass","Ahmedabad","Ahmedabad City","Dome","maintenance","96.5","",22.989109,72.552243
"GJ-DEMO-CAM-0510","Ahmedabad Junction Cam 16 - Vasna Old Junction","Ahmedabad","Ahmedabad City","Bullet","maintenance","96.5","",22.985339,72.553861
"GJ-DEMO-CAM-0514","Ahmedabad Junction Cam 20 - Nava Vadaj Panchayat Junction","Ahmedabad","Ahmedabad City","Dome","maintenance","96.5","",23.066267,72.576088
"GJ-DEMO-CAM-0528","Ahmedabad Market Cam 34 - Ghatlodia Cloth Market","Ahmedabad","Ahmedabad City","Fixed","maintenance","96.5","",23.065913,72.538945
"GJ-DEMO-CAM-0539","Ahmedabad Highway Cam 45 - Bodakdev Town Bypass","Ahmedabad","Ahmedabad City","Dome","maintenance","96.5","",23.039166,72.507912
"GJ-DEMO-CAM-0558","Ahmedabad Circle Cam 64 - Vejalpur Naka Circle","Ahmedabad","Ahmedabad City","Dome","maintenance","96.5","",22.991758,72.510194
"GJ-DEMO-CAM-0563","Ahmedabad Market Cam 69 - Bodakdev Sabzi Mandi","Ahmedabad","Ahmedabad City","PTZ","maintenance","96.5","",23.039593,72.502519
"GJ-DEMO-CAM-0568","Ahmedabad Public Place Cam 74 - Juhapura Taluka Panchayat Office","Ahmedabad","Ahmedabad City","Fixed","maintenance","96.5","",22.980179,72.530585
