=== DRISHTIGRID GUJARAT STATE SURVEILLANCE AUDIT ===
Report Type,COVERAGE_GAP
Jurisdiction District,All Districts
Generated Timestamp,2026-09-07T08:12:30.814Z
Total Monitored Cameras,300
Operational Online,201
Total Jurisdiction Area (sq km),6283
Optical Coverage Area (sq km),7.38
Estimated Blind Spot Rate (%),88%
Surveillance Density (cams/sq km),0.05

=== PRIORITY COVERAGE BLIND SPOTS & RECOMMENDATIONS ===
Hotspot ID,Corridor / Area,District,Severity,Recommended CCTV Units,Nearest Police Station,Strategic Rationale
"GAP-GJ-01","Statewide Outer Ring Road & Radial Extension Corridor","Statewide","CRITICAL","+6 Units","Statewide Highway Division Traffic PS","High vehicle volume arterial junction with zero visual overlapping buffers beyond 400m"
"GAP-GJ-02","Statewide Ring Road Freight Line","Statewide","HIGH","+4 Units","Statewide Industrial Area Police Station","Heavy commercial transit corridor lacking night-vision ANPR units and cross-lane surveillance"
"GAP-GJ-03","Statewide Income Tax Circle Road Pedestrian Chokepoint","Statewide","MEDIUM","+3 Units","Statewide City Central Police Station","Dense pedestrian choke-point with single direction PTZ blind angle during peak commercial hours"

=== REGISTERED SURVEILLANCE UNITS IN JURISDICTION ===
Camera ID,Name,District,Taluka,Type,Status,Uptime 30d %,Police Station,Latitude,Longitude
"GJ-DEMO-CAM-0001","Ahmedabad Bridge Cam 01 - Maninagar Railway Station","Ahmedabad","Ahmedabad City","Bullet","online","96.5","",23.026175,72.584361
"GJ-DEMO-CAM-0002","Ahmedabad Market Cam 02 - Sardar Patel Stadium","Ahmedabad","Ahmedabad City","Fixed","online","96.5","",22.998065,72.547203
"GJ-DEMO-CAM-0003","Ahmedabad Highway Cam 03 - Sabarmati Riverfront","Ahmedabad","Ahmedabad City","PTZ","offline","96.5","",23.034774,72.544149
"GJ-DEMO-CAM-0004","Gandhinagar Road Cam 01 - Akshardham Temple","Gandhinagar","Gandhinagar","PTZ","online","96.5","",23.227709,72.647913
"GJ-DEMO-CAM-0005","Gandhinagar Highway Cam 02 - Indroda Nature Park","Gandhinagar","Gandhinagar","PTZ","maintenance","96.5","",23.234908,72.655203
"GJ-DEMO-CAM-0006","Gandhinagar Railway Station Cam 03 - Mahatma Mandir","Gandhinagar","Gandhinagar","Bullet","online","96.5","",23.200398,72.640582
"GJ-DEMO-CAM-0007","Surat Market Cam 01 - Ring Road Market","Surat","Surat City","Fixed","online","96.5","",21.175985,72.824186
"GJ-DEMO-CAM-0008","Surat Road Cam 02 - Sardar Patel Museum","Surat","Surat City","Fixed","offline","96.5","",21.140395,72.844426
"GJ-DEMO-CAM-0009","Surat Market Cam 03 - Surat Railway Station","Surat","Surat City","PTZ","online","96.5","",21.176137,72.830416
"GJ-DEMO-CAM-0010","Vadodara Railway Station Cam 01 - Sursagar Lake","Vadodara","Vadodara City","PTZ","maintenance","96.5","",22.334011,73.161108
"GJ-DEMO-CAM-0011","Vadodara Bridge Cam 02 - Sursagar Lake","Vadodara","Vadodara City","PTZ","online","96.5","",22.290682,73.171485
"GJ-DEMO-CAM-0012","Vadodara Circle Cam 03 - Sursagar Lake","Vadodara","Vadodara City","PTZ","offline","96.5","",22.290054,73.159139
"GJ-DEMO-CAM-0013","Rajkot Railway Station Cam 01 - Rajkot Race Course","Rajkot","Rajkot City","Dome","offline","96.5","",22.314302,70.83125
"GJ-DEMO-CAM-0014","Rajkot Highway Cam 02 - Rajkot Railway Station","Rajkot","Rajkot City","Fixed","online","96.5","",22.288888,70.827596
"GJ-DEMO-CAM-0015","Rajkot Market Cam 03 - Rajkot Race Course","Rajkot","Rajkot City","Bullet","online","96.5","",22.328047,70.782078
"GJ-DEMO-CAM-0016","Bhavnagar Road Cam 01 - Takhteshwar Temple","Bhavnagar","Bhavnagar City","Fixed","maintenance","96.5","",21.779379,72.12533
"GJ-DEMO-CAM-0017","Bhavnagar Public Place Cam 02 - Nilambag Palace","Bhavnagar","Bhavnagar City","Dome","online","96.5","",21.769235,72.124284
"GJ-DEMO-CAM-0018","Bhavnagar Highway Cam 03 - Nilambag Palace","Bhavnagar","Bhavnagar City","Fixed","online","96.5","",21.790241,72.178044
"GJ-DEMO-CAM-0019","Jamnagar Market Cam 01 - Darbargadh","Jamnagar","Jamnagar","Fixed","maintenance","96.5","",22.477401,70.086934
"GJ-DEMO-CAM-0020","Jamnagar Circle Cam 02 - Ranmal Lake","Jamnagar","Jamnagar","Dome","maintenance","96.5","",22.452916,70.065754
"GJ-DEMO-CAM-0021","Junagadh Junction Cam 01 - Junagadh Railway Station","Junagadh","Junagadh City","Fixed","online","96.5","",21.501895,70.45441
"GJ-DEMO-CAM-0022","Junagadh Bridge Cam 02 - Uparkot Fort","Junagadh","Junagadh City","PTZ","online","96.5","",21.546139,70.475667
"GJ-DEMO-CAM-0023","Junagadh Bridge Cam 03 - Girnar Ropeway","Junagadh","Junagadh City","Dome","online","96.5","",21.493687,70.472094
"GJ-DEMO-CAM-0024","Anand Junction Cam 01 - Anand Railway Station","Anand","Anand","PTZ","online","96.5","",22.552811,72.946621
"GJ-DEMO-CAM-0025","Anand Market Cam 02 - Vallabh Vidyanagar Circle","Anand","Anand","Fixed","online","96.5","",22.590854,72.905821
